,RunId,iteration,Step,num_ants,num_sticks,neighType,stick_min,stick_max,width,height,Average,Median,AgentID,Sticks
343,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,42.0,1.0
344,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,43.0,2.0
345,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,44.0,2.0
346,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,45.0,1.0
347,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,46.0,1.0
348,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,47.0,1.0
349,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,48.0,1.0
350,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,49.0,3.0
351,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,50.0,1.0
352,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,51.0,2.0
353,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,52.0,1.0
354,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,53.0,1.0
355,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,54.0,1.0
356,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,55.0,3.0
357,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,56.0,4.0
358,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,57.0,1.0
359,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,58.0,1.0
360,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,59.0,2.0
361,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,60.0,2.0
362,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,61.0,1.0
363,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,62.0,1.0
364,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,63.0,1.0
365,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,64.0,2.0
366,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,65.0,2.0
367,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,66.0,1.0
368,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,67.0,3.0
369,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,68.0,2.0
370,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,69.0,3.0
371,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,70.0,1.0
372,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,71.0,2.0
373,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,72.0,1.0
374,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,73.0,1.0
375,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,74.0,2.0
376,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,75.0,3.0
377,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,76.0,2.0
378,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,77.0,2.0
379,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,78.0,3.0
380,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,79.0,1.0
381,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,80.0,2.0
382,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,81.0,3.0
383,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,82.0,1.0
384,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,83.0,3.0
385,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,84.0,3.0
386,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,85.0,2.0
387,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,86.0,1.0
388,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,87.0,2.0
389,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,88.0,2.0
390,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,89.0,1.0
391,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,90.0,1.0
392,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,91.0,1.0
393,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,92.0,1.0
394,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,93.0,3.0
395,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,94.0,3.0
396,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,95.0,3.0
397,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,96.0,3.0
398,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,97.0,2.0
399,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,98.0,3.0
400,0,0,200,1,100,VN,5,15,10,10,2.0,2.0,99.0,3.0
401,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,0.0,3.0
402,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,1.0,1.0
403,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,2.0,1.0
404,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,3.0,3.0
405,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,4.0,3.0
406,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,5.0,2.0
407,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,6.0,2.0
408,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,7.0,3.0
409,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,8.0,3.0
410,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,9.0,1.0
411,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,10.0,4.0
412,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,11.0,1.0
413,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,12.0,1.0
414,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,13.0,3.0
415,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,14.0,4.0
416,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,15.0,2.0
417,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,16.0,2.0
418,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,17.0,1.0
419,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,18.0,3.0
420,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,19.0,1.0
421,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,20.0,1.0
422,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,21.0,3.0
423,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,22.0,3.0
424,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,23.0,3.0
425,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,24.0,1.0
426,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,25.0,1.0
427,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,26.0,3.0
428,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,27.0,3.0
429,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,28.0,1.0
430,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,29.0,2.0
431,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,30.0,3.0
432,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,31.0,2.0
433,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,32.0,2.0
434,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,33.0,3.0
435,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,34.0,4.0
436,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,35.0,1.0
437,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,36.0,1.0
438,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,37.0,1.0
439,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,38.0,1.0
440,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,39.0,2.0
441,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,40.0,3.0
442,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,41.0,3.0
443,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,42.0,1.0
444,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,43.0,2.0
445,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,44.0,2.0
446,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,45.0,1.0
447,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,46.0,1.0
448,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,47.0,1.0
449,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,48.0,1.0
450,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,49.0,3.0
451,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,50.0,1.0
452,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,51.0,2.0
453,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,52.0,1.0
454,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,53.0,1.0
455,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,54.0,1.0
456,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,55.0,3.0
457,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,56.0,4.0
458,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,57.0,1.0
459,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,58.0,1.0
460,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,59.0,2.0
461,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,60.0,2.0
462,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,61.0,1.0
463,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,62.0,1.0
464,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,63.0,1.0
465,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,64.0,2.0
466,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,65.0,2.0
467,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,66.0,1.0
468,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,67.0,3.0
469,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,68.0,2.0
470,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,69.0,3.0
471,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,70.0,1.0
472,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,71.0,2.0
473,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,72.0,1.0
474,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,73.0,3.0
475,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,74.0,3.0
476,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,75.0,3.0
477,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,76.0,2.0
478,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,77.0,2.0
479,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,78.0,3.0
480,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,79.0,1.0
481,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,80.0,2.0
482,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,81.0,3.0
483,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,82.0,1.0
484,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,83.0,3.0
485,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,84.0,3.0
486,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,85.0,2.0
487,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,86.0,1.0
488,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,87.0,2.0
489,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,88.0,2.0
490,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,89.0,1.0
491,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,90.0,1.0
492,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,91.0,1.0
493,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,92.0,1.0
494,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,93.0,3.0
495,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,94.0,3.0
496,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,95.0,3.0
497,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,96.0,3.0
498,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,97.0,2.0
499,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,98.0,3.0
500,0,0,250,1,100,VN,5,15,10,10,2.0,2.0,99.0,3.0
501,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,0.0,3.0
502,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,1.0,1.0
503,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,2.0,1.0
504,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,3.0,4.0
505,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,4.0,3.0
506,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,5.0,2.0
507,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,6.0,2.0
508,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,7.0,3.0
509,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,8.0,3.0
510,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,9.0,1.0
511,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,10.0,4.0
512,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,11.0,1.0
513,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,12.0,1.0
514,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,13.0,3.0
515,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,14.0,4.0
516,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,15.0,2.0
517,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,16.0,2.0
518,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,17.0,1.0
519,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,18.0,3.0
520,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,19.0,1.0
521,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,20.0,1.0
522,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,21.0,2.0
523,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,22.0,3.0
524,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,23.0,4.0
525,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,24.0,1.0
526,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,25.0,1.0
527,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,26.0,3.0
528,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,27.0,3.0
529,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,28.0,1.0
530,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,29.0,2.0
531,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,30.0,3.0
532,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,31.0,2.0
533,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,32.0,2.0
534,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,33.0,3.0
535,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,34.0,4.0
536,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,35.0,1.0
537,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,36.0,1.0
538,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,37.0,1.0
539,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,38.0,1.0
540,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,39.0,2.0
541,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,40.0,3.0
542,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,41.0,3.0
543,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,42.0,1.0
544,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,43.0,2.0
545,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,44.0,2.0
546,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,45.0,1.0
547,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,46.0,1.0
548,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,47.0,1.0
549,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,48.0,1.0
550,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,49.0,3.0
551,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,50.0,1.0
552,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,51.0,2.0
553,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,52.0,1.0
554,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,53.0,1.0
555,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,54.0,1.0
556,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,55.0,3.0
557,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,56.0,4.0
558,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,57.0,1.0
559,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,58.0,1.0
560,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,59.0,2.0
561,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,60.0,2.0
562,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,61.0,1.0
563,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,62.0,1.0
564,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,63.0,1.0
565,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,64.0,2.0
566,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,65.0,2.0
567,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,66.0,1.0
568,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,67.0,3.0
569,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,68.0,2.0
570,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,69.0,3.0
571,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,70.0,1.0
572,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,71.0,2.0
573,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,72.0,1.0
574,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,73.0,4.0
575,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,74.0,2.0
576,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,75.0,3.0
577,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,76.0,2.0
578,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,77.0,2.0
579,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,78.0,4.0
580,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,79.0,1.0
581,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,80.0,2.0
582,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,81.0,3.0
583,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,82.0,1.0
584,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,83.0,3.0
585,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,84.0,3.0
586,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,85.0,2.0
587,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,86.0,1.0
588,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,87.0,2.0
589,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,88.0,2.0
590,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,89.0,1.0
591,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,90.0,1.0
592,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,91.0,1.0
593,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,92.0,1.0
594,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,93.0,3.0
595,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,94.0,3.0
596,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,95.0,3.0
597,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,96.0,3.0
598,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,97.0,2.0
599,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,98.0,3.0
600,0,0,300,1,100,VN,5,15,10,10,2.0,2.0,99.0,3.0
601,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,0.0,3.0
602,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,1.0,2.0
603,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,2.0,1.0
604,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,3.0,3.0
605,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,4.0,3.0
606,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,5.0,2.0
607,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,6.0,2.0
608,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,7.0,3.0
609,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,8.0,3.0
610,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,9.0,1.0
611,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,10.0,4.0
612,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,11.0,1.0
613,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,12.0,1.0
614,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,13.0,3.0
615,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,14.0,4.0
616,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,15.0,2.0
617,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,16.0,2.0
618,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,17.0,1.0
619,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,18.0,3.0
620,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,19.0,1.0
621,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,20.0,1.0
622,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,21.0,2.0
623,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,22.0,3.0
624,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,23.0,3.0
625,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,24.0,1.0
626,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,25.0,1.0
627,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,26.0,3.0
628,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,27.0,3.0
629,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,28.0,1.0
630,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,29.0,2.0
631,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,30.0,3.0
632,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,31.0,2.0
633,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,32.0,2.0
634,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,33.0,3.0
635,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,34.0,4.0
636,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,35.0,1.0
637,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,36.0,1.0
638,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,37.0,1.0
639,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,38.0,1.0
640,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,39.0,2.0
641,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,40.0,3.0
642,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,41.0,3.0
643,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,42.0,1.0
644,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,43.0,2.0
645,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,44.0,2.0
646,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,45.0,1.0
647,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,46.0,1.0
648,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,47.0,1.0
649,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,48.0,1.0
650,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,49.0,3.0
651,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,50.0,1.0
652,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,51.0,2.0
653,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,52.0,1.0
654,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,53.0,1.0
655,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,54.0,1.0
656,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,55.0,3.0
657,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,56.0,4.0
658,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,57.0,1.0
659,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,58.0,1.0
660,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,59.0,2.0
661,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,60.0,2.0
662,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,61.0,1.0
663,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,62.0,1.0
664,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,63.0,1.0
665,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,64.0,2.0
666,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,65.0,2.0
667,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,66.0,1.0
668,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,67.0,3.0
669,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,68.0,2.0
670,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,69.0,3.0
671,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,70.0,1.0
672,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,71.0,2.0
673,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,72.0,1.0
674,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,73.0,2.0
675,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,74.0,2.0
676,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,75.0,3.0
677,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,76.0,2.0
678,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,77.0,2.0
679,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,78.0,3.0
680,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,79.0,1.0
681,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,80.0,2.0
682,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,81.0,3.0
683,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,82.0,1.0
684,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,83.0,3.0
685,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,84.0,3.0
686,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,85.0,2.0
687,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,86.0,1.0
688,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,87.0,2.0
689,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,88.0,2.0
690,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,89.0,1.0
691,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,90.0,1.0
692,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,91.0,1.0
693,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,92.0,1.0
694,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,93.0,3.0
695,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,94.0,3.0
696,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,95.0,3.0
697,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,96.0,3.0
698,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,97.0,2.0
699,0,0,350,1,100,VN,5,15,10,10,2.04,2.0,98.0,3.0
